Key,Id,Shared Comment,English(en),English(en) Comments,Korean (South Korea)(ko-KR),Korean (South Korea)(ko-KR) Comments,Chinese (Simplified)(zh),Chinese (Simplified)(zh) Comments,French (France)(fr-FR),French (France)(fr-FR) Comments,German (Germany)(de-DE),German (Germany)(de-DE) Comments,Japanese(ja),Japanese(ja) Comments,Polish (Poland)(pl-PL),Polish (Poland)(pl-PL) Comments,Portuguese(pt),Portuguese(pt) Comments,Russian (Russia)(ru-RU),Russian (Russia)(ru-RU) Comments,Spanish(es),Spanish(es) Comments,Turkish (Turkey)(tr-TR),Turkish (Turkey)(tr-TR) Comments
"DamageIncrease-Detail",25052475392,"","Increases attackDamage by {value1}%.","","공격력이 {value1}% 증가합니다.","","伤害提高了 {value1}%.","","Augmente les dégâts d'attaque de {value1} %.","","Erhöht den Angriffsschaden um {value1} %.","","攻撃力が{value1}% 増加します.","","Zwiększa obrażenia ataku o {value1}%.","","Aumenta attackDamage em {value1}%.","","Увеличивает урон от атаки на {value1}%.","","Aumenta el daño de ataque en {value1}%.","","Saldırı Hasarını %{value1} arttırır.",""
"DefenceIncrease-Detail",572727914496,"","Increases defense by {value1}.","","방어력이 {value1} 증가합니다.","","防御提高 {value1}.","","Augmente la défense de {value1}.","","Erhöht die Verteidigung um {value1}.","","防御力が{value1} 増加します.","","Zwiększa obronę o {value1}.","","Aumenta a defesa em {value1}.","","Увеличивает защиту на {value1}.","","Aumenta la defensa en {value1}.","","Savunmayı {value1} arttırır.",""
"HealthRegenerate-Detail",628667346944,"","Recovers HP by {value1} every {BRT1}.","","{BRT1}초 마다 HP를 {value1} 만큼 회복합니다.","","每 {BRT1} 秒恢复 {value1} 点生命值.","","Récupère HP de {value1} tous les {BRT1}.","","Stellt alle {BRT1} HP um {value1} wieder her.","","{BRT1}秒ごとにHPを{value1}だけ回復します.","","Odzyskuje HP o {value1} co {BRT1}.","","Recupera HP em {value1} a cada {BRT1}.","","Восстанавливает HP на {value1} каждые {BRT1}.","","Recupera HP por {value1} cada {BRT1}.","","Her {BRT1} HP'yi {value1} oranında yeniler.",""
"SlowDownImmunity-Detail",672770453504,"","Immune to slow down.","","둔화 상태에 면역이 됩니다.","","免疫减速.","","Immunisé au ralentissement.","","Immun gegen Verlangsamung.","","減速する免疫.","","Odporny na spowolnienie.","","Imune a desacelerar.","","Иммунитет к замедлению.","","Inmune a ralentizar.","","Yavaşlamaya karşı bağışıklık.",""
"StunImmunity-Detail",773999980544,"","Immune to stun.","","기절 상태에 면역이 됩니다.","","免疫眩晕.","","Immunisé contre l'étourdissement.","","Immun gegen Betäubung.","","気絶する免疫.","","Odporny na ogłuszenie.","","Imune a atordoar.","","Иммунитет к оглушению.","","Inmune al aturdimiento.","","Sersemletmeye karşı bağışıklık.",""
"Burn-Detail",2195629961216,"","You take {BD1} damage every {BRT1} seconds.","","{BRT1}초 마다 {BD1}의 데미지를 받습니다.","","你每 {BRT1} 秒受到 {BD1} 伤害.","","Vous subissez {BD1} dégâts toutes les {BRT1} secondes.","","Du erleidest alle {BRT1} Sekunden {BD1} Schaden.","","{BRT1}秒ごとに{BD1}のダメージを受けます.","","Otrzymujesz {BD1} obrażeń co {BRT1} sek.","","Você sofre {BD1} de dano a cada {BRT1} segundos.","","Вы получаете {BD1} урона каждые {BRT1} секунд.","","Recibes {BD1} de daño cada {BRT1} segundos.","","Her {BRT1} saniyede bir {BD1} hasar alırsınız.",""
"DecreaseDefense-Detail",2239594655744,"","Defense decrease by {value2}.","","방어력이 {value2} 감소합니다.","","防御减少 {value2}.","","La défense est réduite de {value2}.","","Verteidigung wird um {value2} reduziert.","","防御力は{value2}減少します.","","Obrona zostaje zmniejszona o {value2}.","","A defesa é reduzida em {value2}.","","Защита снижена на {value2}.","","La defensa se reduce en {value2}.","","Savunma {value2} azaltılır.",""
"Maimed-Detail",2300718247936,"","Attack speed and movement speed decrease by {value1}%.","","공격속도와 이동속도가 {value1}% 만큼 감소합니다.","","攻击速度和移动速度降低 {value1}%.","","La vitesse d'attaque et la vitesse de déplacement sont réduites de {value1} %.","","Angriffsgeschwindigkeit und Bewegungsgeschwindigkeit werden um {value1} % reduziert.","","攻撃速度と移動速度は{value1}％減少します.","","Prędkość ataku i prędkość ruchu są zmniejszone o {value1}%.","","A velocidade de ataque e a velocidade de movimento são reduzidas em {value1}%.","","Скорость атаки и скорость передвижения снижены на {value1}%.","","La velocidad de ataque y la velocidad de movimiento se reducen un {value1}%.","","Saldırı hızı ve hareket hızı %{value1} azaltılır.",""
"Poison-Detail",2338307600384,"","You take {BD1} damage every {BRT1} seconds.","","{BRT1}초 마다 {BD1}의 데미지를 받습니다.","","你每 {BRT1} 秒受到 {BD1} 伤害.","","Vous subissez {BD1} dégâts toutes les {BRT1} secondes.","","Du erleidest alle {BRT1} Sekunden {BD1} Schaden.","","{BRT1}秒ごとに{BD1}のダメージを受けます.","","Otrzymujesz {BD1} obrażeń co {BRT1} sek.","","Você sofre {BD1} de dano a cada {BRT1} segundos.","","Вы получаете {BD1} урона каждые {BRT1} секунд.","","Recibes {BD1} de daño cada {BRT1} segundos.","","Her {BRT1} saniyede bir {BD1} hasar alırsınız.",""
"SlowDown-Detail",2364467474432,"","Movement speed decrease by {value1}%.","","이동속도가 {value1}% 감소합니다.","","移动速度降低 {value1}%.","","La vitesse de déplacement est réduite de {value1} %.","","Die Bewegungsgeschwindigkeit wird um {value1} % reduziert.","","移動速度は{value1}% 減少します.","","Szybkość ruchu zostaje zmniejszona o {value1}%.","","A velocidade de movimento é reduzida em {value1}%.","","Скорость передвижения снижена на {value1}%.","","La velocidad de movimiento se reduce en {value1}%.","","Hareket hızı %{value1} azaltıldı.",""
"Stun-Detail",2398831407104,"","Cannot take action","","행동불가 상태입니다.","","无法采取任何行动","","Ne peut entreprendre aucune action","","Kann keine Aktion ausführen","","何もできません","","Nie mogę podjąć żadnych działań","","Não é possível realizar nenhuma ação","","Не могу предпринять никаких действий","","No se puede tomar ninguna acción","","Herhangi bir işlem yapılamıyor",""
"RemainTime",361670358495232,"","Duration: {TimeRemain}second","","지속 시간 : {TimeRemain}초","","持续时间 : {TimeRemain}秒","","Durée : {TimeRemain}seconde","","Dauer: {TimeRemain}
Sekunde","","期間 : {TimeRemain}秒","","Czas trwania: {TimeRemain}sekunda","","Duração: {TimeRemain}segundo","","Продолжительность: {TimeRemain}секунда","","Duración: {TimeRemain}segundo","","Süre: {TimeRemain}saniye",""
"RemainTimeToNextStage",363867846635520,"","Duration: Until the next stage","","지속시간 : 다음 스테이지까지","","持续时间 : 直到下一阶段","","Durée : Jusqu'à la prochaine étape","","Dauer: Bis zur nächsten Etappe","","期間 : 次の段階まで","","Czas trwania: Do następnego etapu","","Duração: Até a próxima etapa","","Продолжительность: до следующего этапа","","Duración: Hasta la siguiente etapa","","Süre: Bir sonraki aşamaya kadar",""
"DamageIncrease",368290681483264,"","Increase attackDamage","","공격력 증가","","攻击力增加","","Augmenter les dégâts d'attaque","","Angriffsschaden erhöhen","","攻撃力増加","","większ obrażenia ataku","","Aumentar dano de ataque","","Увеличение атакиУрон","","Aumenta el daño de ataque","","Saldırıyı artırınHasar",""
"DefenceIncrease",368311346819072,"","Increse Defense","","방어력 증가","","防御增加","","Augmenter la défense","","Verteidigung erhöhen","","防御力増加","","Zwiększ obronę","","Aumentar a Defesa","","Увеличить защиту","","Aumentar la defensa","","Savunmayı Artırın",""
"HealthRegenerate",368332049903616,"","Hp Regeneration","","체력 재생","","耐力再生","","Régénération HP","","HP-Regeneration","","体力再生","","Regeneracja HP","","Regeneração de HP","","Регенерация хп","","Regeneración de caballos de fuerza","","HP Yenileme",""
"SlowDownImmunity",368354573316096,"","Slow Immunity","","둔화 면역","","缓慢免疫","","Immunité lente","","Langsame Immunität","","遅い免疫","","Powolna odporność","","Imunidade lenta","","Медленный иммунитет","","Inmunidad lenta","","Yavaş Bağışıklık",""
"Burn",368383509819392,"","Burn","","화상","","烧伤","","Brûler","","Brennen","","燃えた","","Oparzenie","","Queimar","","Гореть","","Quemadura","","Yakmak",""
"DecreaseDefense",368406582685696,"","Defence Decrease","","방어력 감소","","防御力下降","","Diminution de la défense","","Verteidigungsabnahme","","防御力の低下.","","Zmniejszenie obrony","","Diminuição da Defesa","","Снижение защиты","","Disminución de defensa","","Savunma Düşüşü",""
"Maimed",368431782064128,"","Maimed","","불구","","禁用","","Estropié","","Verstümmelt","","不具","","Okaleczony","","Mutilado","","Изувеченный","","mutilado","","Sakatlandı",""
"Poison",368466884194304,"","Poison","","독","","毒","","Poison","","Gift","","毒","","Zatruć","","Poção","","Яд","","Veneno","","Zehir",""
"SlowDown",368506495201280,"","Slowdown","","둔화","","慢一点","","Ralentir","","Verlangsamen","","徐行","","Zwolnij","","Desacelerar","","Замедлять","","Desacelerar","","Yavaşlatmak",""
"Stun",368531078017024,"","Stun","","기절","","头晕的","","Étourdir","","Betäuben","","気絶","","Oszołomić","","Atordoar","","Оглушить","","Aturdir","","Sersemletme",""
"StunImmunity",372127035191296,"","Stun Immune","","기절 면역","","免疫眩晕","","Immunité aux étourdissements","","Betäubungsimmun","","気絶免疫","","Odporność na ogłuszenie","","Imune ao Atordoamento","","Иммунитет к оглушению","","Inmune al aturdimiento","","Sersemletme Bağışıklığı",""
"IncreaseAttackSpeed",383361126133760,"","attacks speed decrese","","공격속도 증가","","攻击速度增加","","augmentation de la vitesse d'attaque","","Angriffsgeschwindigkeit erhöhen","","攻撃速度の増加","","zwiększenie szybkości ataku","","aumento da velocidade de ataque","","увеличение скорости атаки","","aumento de la velocidad de ataque","","
saldırı hızı artışı",""
"IncreaseAttackSpeed-Detail",383526092304384,"","Attack speed is increased by {value2}%.","","공격속도가 {value2}% 만큼 증가합니다.","","攻击速度提高 {value2}%.","","La vitesse d'attaque est augmentée de {value2} %.","","Angriffsgeschwindigkeit wird um {value2} % erhöht.","","攻撃速度が{value2}%  増加します.","","Szybkość ataku zostaje zwiększona o {value2}%.","","A velocidade de ataque é aumentada em {value2}%.","","Скорость атаки увеличена на {value2}%.","","La velocidad de ataque aumenta un {value2}%.","","Saldırı hızı %{value2} arttırıldı.",""
"DecreaseAttackSpeed",385730169696256,"","attack speed decrease","","공격속도 감소","","攻击速度降低","","diminution de la vitesse d'attaque","","Angriffsgeschwindigkeit verringern","","攻撃速度の減少","","zmniejszenie szybkości ataku","","diminuição da velocidade de ataque","","снижение скорости атаки","","disminución de la velocidad de ataque","","saldırı hızı düşüşü",""
"DecreaseAttackSpeed-Detail",385844246376448,"","Attack speed is decrese by {value2}%.","","공격속도가 {value2}% 만큼 감소합니다.","","攻击速度降低 {value2}%.","","La vitesse d'attaque est réduite de {value2} %.","","Die Angriffsgeschwindigkeit wird um {value2} % verringert.","","攻撃速度は{value2}% 減少します.","","Szybkość ataku spada o {value2}%.","","A velocidade de ataque é reduzida em {value2}%.","","Скорость атаки снижена на {value2}%.","","La velocidad de ataque se reduce en {value2}%.","","Saldırı hızı %{value2} azalır.",""
"DecreaseDamage",388998048411648,"","attack damage decerse","","공격력 감소","","攻击力下降","","diminution de la puissance d'attaque","","Abnahme der Angriffskraft","","攻撃力減少","","spadek siły ataku","","diminuição do poder de ataque","","снижение силы атаки","","disminución del poder de ataque","","saldırı gücünde azalma",""
"DecreaseDamage-Detail",389030403272704,"","attack damage decrese {value2}%.","","공격력이 {value2}% 감소합니다.","","攻击伤害减少 {value2}%.","","Diminution des dégâts d'attaque {value2} %.","","Angriffsschaden verringert sich um {value2} %.","","攻撃ダメージは{value2}% 減少します.","","Obrażenia od ataku spadają o {value2}%.","","diminuição do dano de ataque {value2}%.","","урон от атаки уменьшается на {value2}%.","","disminución del daño de ataque {value2}%.","","saldırı hasarı %{value2} azalır.",""
"MoveSpeedIncrease",395070926647296,"","movement speed increase","","이동속도 증가","","移动速度增加","","augmentation de la vitesse de déplacement","","Bewegungsgeschwindigkeit erhöhen","","移動速度の増加","","zwiększenie prędkości ruchu","","aumento da velocidade de movimento","","увеличение скорости передвижения","","aumento de la velocidad de movimiento","","hareket hızı artışı",""
"MoveSpeedIncrease-Detail",395072935718912,"","Movement speed is increased by {value2}%.","","이동속도가 {value2}% 증가합니다.","","移动速度增加 {value2}%.","","La vitesse de déplacement est augmentée de {value2} %.","","Die Bewegungsgeschwindigkeit wird um {value2} % erhöht.","","移動速度が{value2}％増加します.","","Szybkość ruchu zostaje zwiększona o {value2}%.","","A velocidade de movimento é aumentada em {value2}%.","","Скорость передвижения увеличена на {value2}%.","","La velocidad de movimiento aumenta en {value2}%.","","Hareket hızı %{value2} arttırıldı.",""
"MoveSpeedDecrease",395076177915904,"","movement speed decrease","","이동속도 감소","","移动速度降低","","diminution de la vitesse de déplacement","","Bewegungsgeschwindigkeit verringern","","移動速度の減少","","zmniejszenie prędkości ruchu","","diminuição da velocidade de movimento","","снижение скорости передвижения","","disminución de la velocidad de movimiento","","hareket hızı düşüşü",""
"MoveSpeedDecrease-Detail",395076752535552,"","Movement speed decrease by {value2}%.","","이동속도가 {value2}% 감소합니다.","","移动速度降低 {value2}%。","","La vitesse de déplacement est réduite de {value2} %.","","Die Bewegungsgeschwindigkeit wird um {value2} % verringert.","","移動速度が{value2}％減少します.","","Szybkość ruchu zostaje zmniejszona o {value2}%.","","A velocidade de movimento é reduzida em {value2}%.","","Скорость передвижения снижена на {value2}%.","","La velocidad de movimiento se reduce en {value2}%.","","Hareket hızı %{value2} azaltıldı.",""